Rok,Značka,Model,Motorizácia,Spotreba
2025,Ford,EXPLORER RWD,3.0,11.2
2025,Ford,EXPLORER RWD,3.0,11.2
2025,Ford,EXPLORER RWD,2.3,9.8
2025,Ford,EXPLORER AWD,3.0,11.8
2025,Ford,ESCAPE FWD HEV,2.5,6.0
2025,Ford,EXPLORER AWD,2.3,10.2
2025,Ford,ESCAPE FWD,1.5,7.8
2025,Ford,ESCAPE AWD,1.5,8.4
2025,Ford,ESCAPE AWD,2.0,9.0
2025,Ford,ESCAPE AWD HEV,2.5,6.0
2025,GENESIS,G80 AWD,3.5,12.4
2025,GENESIS,G80 AWD,2.5,9.8
2025,GENESIS,GV80 AWD,3.5,12.4
2025,GENESIS,GV70 AWD,3.5,11.8
2025,GENESIS,G90 MHEV,3.5,11.8
2025,GENESIS,GV80 MHEV,3.5,11.8
2025,GENESIS,GV80 AWD,2.5,11.2
2025,GENESIS,GV70 AWD,2.5,9.8
2025,GENESIS,GV70 AWD,2.5,10.7
2025,GENESIS,G70 AWD,2.5,10.2
2025,GENESIS,G70 AWD,3.3,12.4
2025,GENESIS,G70 RWD,2.5,9.8
2025,GENESIS,G70 RWD,3.3,11.8
2025,GENESIS,G90 AWD,3.5,11.2
2025,GMC,SIERRA 4WD,3.0,9.8
2025,GMC,SIERRA 4WD,5.3,13.8
2025,GMC,SIERRA 4WD,5.3,13.8
2025,GMC,SIERRA 4WD,5.3,14.7
2025,GMC,SIERRA 4WD,5.3,13.8
2025,GMC,SIERRA 4WD,2.7,13.8
2025,GMC,SIERRA 4WD,2.7,13.1
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,3.0,10.2
2025,GMC,SIERRA 4WD AT4X,3.0,12.4
2025,GMC,SIERRA 4WD AT4X,6.2,15.7
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,2.7,14.7
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,5.3,14.7
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,5.3,14.7
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,5.3,14.7
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,5.3,13.8
2025,GMC,SIERRA 4WD MUD TERRAIN TIRES,6.2,15.7
2025,GMC,SIERRA 2WD CAB CHASSIS,5.3,14.7
2025,GMC,SIERRA 4WD CAB CHASSIS,5.3,15.7
2025,GMC,TERRAIN FWD,1.5,8.7
2025,GMC,SIERRA 4WD,6.2,14.7
2025,GMC,YUKON XL 4WD,6.2,14.7
2025,GMC,TERRAIN AWD,1.5,9.4
2025,GMC,ACADIA FWD,2.5,10.2
2025,GMC,YUKON XL 2WD,6.2,14.7
2025,GMC,YUKON XL 2WD,5.3,13.8
2025,GMC,YUKON 2WD,6.2,13.8
2025,GMC,YUKON 2WD,5.3,13.8
2025,GMC,SIERRA 2WD,2.7,12.4
2025,GMC,SIERRA 2WD,2.7,12.4
2025,GMC,SIERRA 2WD,5.3,13.1
2025,GMC,SIERRA 2WD,5.3,13.8
2025,GMC,ACADIA AWD,2.5,11.2
2025,GMC,YUKON 4WD,5.3,13.8
2025,GMC,SIERRA 2WD,3.0,9.0
2025,GMC,YUKON XL 4WD,5.3,14.7
2025,GMC,YUKON 4WD,6.2,14.7
2025,HYUNDAI MOTOR COMPANY,Kona AWD,1.6,9.0
2025,HYUNDAI MOTOR COMPANY,Kona AWD,2.0,8.4
2025,HYUNDAI MOTOR COMPANY,Kona AWD,2.0,8.7
2025,HYUNDAI MOTOR COMPANY,Tucson AWD,2.5,9.0
2025,HYUNDAI MOTOR COMPANY,Venue,1.6,7.6
2025,HYUNDAI MOTOR COMPANY,Sonata FWD,2.5,8.7
2025,HYUNDAI MOTOR COMPANY,Sonata FWD,2.5,8.1
2025,HYUNDAI MOTOR COMPANY,Sonata FWD,2.5,7.4
2025,HYUNDAI MOTOR COMPANY,Sonata Hybrid,2.0,5.0
2025,HYUNDAI MOTOR COMPANY,Palisade AWD,3.8,11.2
2025,HYUNDAI MOTOR COMPANY,Santa Cruz AWD,2.5,10.7
2025,HYUNDAI MOTOR COMPANY,Santa Cruz AWD,2.5,9.8
2025,HYUNDAI MOTOR COMPANY,Santa Cruz XRT AWD,2.5,11.2
2025,HYUNDAI MOTOR COMPANY,Santa Fe AWD,2.5,10.2
2025,HYUNDAI MOTOR COMPANY,Tucson Hybrid,1.6,6.7
2025,HYUNDAI MOTOR COMPANY,Sonata AWD,2.5,8.4
2025,HYUNDAI MOTOR COMPANY,Tucson FWD,2.5,8.4
2025,HYUNDAI MOTOR COMPANY,Santa Fe Hybrid FWD,1.6,6.5
2025,HYUNDAI MOTOR COMPANY,Elantra N,2.0,9.8
2025,HYUNDAI MOTOR COMPANY,Elantra N,2.0,10.2
2025,HYUNDAI MOTOR COMPANY,Elantra Hybrid Blue,1.6,4.4
2025,HYUNDAI MOTOR COMPANY,Elantra Hybrid,1.6,4.7
2025,HYUNDAI MOTOR COMPANY,Elantra,2.0,6.9
2025,HYUNDAI MOTOR COMPANY,Elantra,2.0,6.5
2025,HYUNDAI MOTOR COMPANY,Elantra,1.6,7.6
2025,HYUNDAI MOTOR COMPANY,Kona FWD,1.6,8.4
2025,HYUNDAI MOTOR COMPANY,Santa Fe Hybrid AWD,1.6,6.9
2025,HYUNDAI MOTOR COMPANY,Santa Cruz FWD,2.5,9.4
2025,HYUNDAI MOTOR COMPANY,Santa Fe AWD XRT,2.5,10.7
2025,HYUNDAI MOTOR COMPANY,Palisade FWD,3.8,10.7
2025,HYUNDAI MOTOR COMPANY,Kona FWD,2.0,7.6
2025,HYUNDAI MOTOR COMPANY,Tucson Hybrid Blue,1.6,6.2
2025,HYUNDAI MOTOR COMPANY,Kona FWD,2.0,7.6
2025,HYUNDAI MOTOR COMPANY,Santa Fe FWD,2.5,9.8
2025,Honda,ODYSSEY FWD,3.5,10.7
2025,Honda,HR-V AWD,2.0,8.7
2025,Honda,PILOT AWD,3.5,11.2
2025,Honda,CIVIC 4Dr,1.5,7.6
2025,Honda,ACCORD SPORT/TOURING,2.0,5.3
2025,Honda,PILOT FWD,3.5,10.7
2025,Honda,CIVIC 4Dr,2.0,4.8
2025,Honda,HR-V FWD,2.0,8.4
2025,Honda,RIDGELINE AWD TrailSport,3.5,11.8
2025,Honda,CIVIC 4Dr,2.0,6.5
2025,Honda,Pilot AWD Touring/Elite/Black,3.5,11.2
2025,Honda,Pilot AWD TRAILSPORT,3.5,11.8
2025,Honda,ACCORD,1.5,7.4
2025,Honda,ACCORD,2.0,4.9
2025,Honda,CIVIC 5Dr,2.0,4.9
2025,Honda,CIVIC 5Dr,2.0,6.9
2025,Honda,CR-V AWD,1.5,8.4
2025,Honda,CIVIC 5Dr,2.0,9.8
2025,Honda,PASSPORT AWD,3.5,11.2
2025,Honda,RIDGELINE AWD,3.5,11.2
2025,Honda,CR-V FWD,2.0,5.9
2025,Honda,CIVIC 4Dr,2.0,6.9
2025,Honda,CR-V AWD,2.0,6.4
2025,Honda,CR-V FWD,1.5,7.8
2025,INEOS Automotive Limited,Grenadier Trialmaster Edition,3.0,16.8
2025,INEOS Automotive Limited,Grenadier Station Wagon,3.0,15.7
2025,INFINITI,QX50 AWD,2.0,9.4
2025,INFINITI,QX50,2.0,9.0
2025,INFINITI,QX55 AWD,2.0,9.4
2025,INFINITI,QX80 4WD,3.5,13.8
2025,INFINITI,QX60 AWD,2.0,9.8
2025,INFINITI,QX60 FWD,2.0,9.8
2025,INFINITI,QX80 2WD,3.5,13.1
2025,Jaguar,F-PACE,2.0,9.8
2025,Jaguar,F-PACE SVR,5.0,13.8
2025,Jaguar,F-PACE MHEV,3.0,11.2
2025,Jeep,Wrangler 4dr 4X4,3.6,12.4
2025,Jeep,Grand Cherokee 4X4,3.6,10.7
2025,Jeep,Wrangler 2dr 4X4,3.6,12.4
2025,Jeep,Wrangler 2dr 4X4,2.0,11.2
2025,Jeep,Compass 4X4,2.0,8.7
2025,Jeep,Grand Wagoneer 4x4,3.0,13.8
2025,Jeep,Wrangler 4dr 4X4,2.0,11.2
2025,Jeep,Grand Wagoneer L 4x4,3.0,13.8
2025,Jeep,Wagoneer L 4x4,3.0,12.4
2025,Jeep,Wagoneer L 4x2,3.0,11.8
2025,Jeep,Gladiator 4X4,3.6,12.4
2025,Jeep,Wagoneer 4x2,3.0,11.8
2025,Jeep,Grand Cherokee L 4X2,3.6,11.2
2025,Jeep,Grand Cherokee 4X2,3.6,10.7
2025,Jeep,Wagoneer 4x4,3.0,12.4
2025,Jeep,Grand Cherokee L 4X4,3.6,11.2
2025,KIA,Soul Eco dynamics,2.0,7.6
2025,KIA,Soul,2.0,7.8
2025,KIA,Carnival,3.5,11.2
2025,KIA,K5,2.5,8.7
2025,KIA,K4,2.0,7.1
2025,KIA,K4,2.0,6.9
2025,KIA,K5,2.5,7.8
2025,KIA,Seltos AWD,2.0,8.1
2025,KIA,K5,2.5,8.1
2025,KIA,Sorento AWD,2.5,9.4
2025,KIA,Sportage AWD,2.5,9.4
2025,KIA,Sportage Hybrid AWD,1.6,6.2
2025,KIA,Sportage Hybrid FWD,1.6,5.5
2025,KIA,Sportage X-pro,2.5,9.0
2025,KIA,Telluride AWD,3.8,11.8
2025,KIA,K5 AWD,2.5,8.7
2025,KIA,Seltos AWD,1.6,9.4
2025,KIA,Carnival Hybrid,1.6,7.1
2025,KIA,Niro,1.6,4.8
2025,KIA,Sorento Hybrid AWD,1.6,6.9
2025,KIA,Sorento AWD,2.5,10.2
2025,KIA,Telluride FWD,3.8,10.7
2025,KIA,Sportage FWD,2.5,8.4
2025,KIA,Sorento Hybrid FWD,1.6,6.5
2025,KIA,Sorento FWD,2.5,9.0
2025,KIA,Sorento FWD,2.5,10.2
2025,KIA,Niro FE,1.6,4.4
2025,KIA,Seltos FWD,2.0,7.6
2025,LEXUS,UX 300h AWD,2.0,5.6
2025,LEXUS,NX 250,2.5,8.4
2025,LEXUS,ES 350,3.5,9.4
2025,LEXUS,NX 350h AWD,2.5,6.0
2025,LEXUS,NX 350 AWD F SPORT,2.4,9.8
2025,LEXUS,UX 300h,2.0,5.5
2025,LEXUS,UX 300h,2.0,5.5
2025,LEXUS,ES 350 F SPORT,3.5,9.4
2025,LEXUS,UX 300h AWD,2.0,5.6
2025,LEXUS,NX 350 AWD,2.4,9.8
2025,LEXUS,NX 250 AWD,2.5,8.4
2025,LEXUS,ES 250 AWD,2.5,8.4
